example_idx,gt,status,pred_obj,correct,abs_error,rel_error,latency_sec,num_calls,parse_error
32,600.0,OPTIMAL,600.0,True,0.0,0.0,9.628312349319458,2,False
33,239.0,OPTIMAL,239.0,True,0.0,0.0,4.095888137817383,2,False
34,33.5,OPTIMAL,27.5,False,6.0,0.17910447760659393,6.5706024169921875,2,False
35,4400.0,OPTIMAL,4400.0,True,0.0,0.0,6.535989999771118,2,False
36,150000.0,OPTIMAL,150000.0,True,0.0,0.0,8.188867330551147,2,False
37,648.0,OPTIMAL,648.0,True,0.0,0.0,9.11745834350586,2,False
38,300.0,OPTIMAL,300.0,True,0.0,0.0,6.344395875930786,2,False
39,8.0,OPTIMAL,8.0,True,0.0,0.0,13.207293510437012,2,False
40,142.0,OPTIMAL,200.0,False,58.0,0.4084507042224757,7.376336336135864,2,False
41,540.0,OPTIMAL,540.0,True,0.0,0.0,4.710609674453735,2,False
42,17000.0,OPTIMAL,17000.0,True,0.0,0.0,4.541075706481934,2,False
43,990.0,OPTIMAL,990.0,True,0.0,0.0,7.6411192417144775,2,False
44,-99999.0,INF_OR_UNBD,,False,,,5.1187238693237305,2,False
45,960.0,OPTIMAL,960.0,True,0.0,0.0,5.428822755813599,2,False
46,290.5,OPTIMAL,291.6666666666667,False,1.1666666666666856,0.004016064257014353,4.914190053939819,2,False
47,4190.0,OPTIMAL,4190.0,True,0.0,0.0,6.8608269691467285,2,False
48,5.851851851851852,OPTIMAL,5.851851851851852,True,0.0,0.0,5.529233932495117,2,False
49,3.0,OPTIMAL,3.0,True,0.0,0.0,3.9915523529052734,2,False
50,14375.0,OPTIMAL,14375.0,True,0.0,0.0,6.144228935241699,2,False
51,25.0,OPTIMAL,25.0,True,0.0,0.0,6.755326271057129,2,False
52,1000.0,OPTIMAL,970.0,False,30.0,0.029999999999970002,8.29837679862976,2,False
53,690.0,OPTIMAL,690.0,True,0.0,0.0,5.6292548179626465,2,False
54,1680.0,OPTIMAL,1684.6153846153848,False,4.615384615384755,0.0027472527472511953,4.300007343292236,2,False
55,25.0,OPTIMAL,25.0,True,0.0,0.0,7.168445825576782,2,False
56,7.0,OPTIMAL,7.0,True,0.0,0.0,6.449513673782349,2,False
57,85500.0,OPTIMAL,85500.0,True,0.0,0.0,5.321721792221069,2,False
58,9000.0,OPTIMAL,9000.0,True,0.0,0.0,16.651803970336914,2,False
59,2200.0,OPTIMAL,2200.0,True,0.0,0.0,6.284344434738159,2,False
60,150000.0,OPTIMAL,150000.0,True,0.0,0.0,5.938671112060547,2,False
61,19.0,OPTIMAL,19.0,True,0.0,0.0,5.0187811851501465,2,False
62,62.5,OPTIMAL,62.5,True,0.0,0.0,11.466946601867676,2,False
63,37.0,OPTIMAL,36.666666666666664,False,0.3333333333333357,0.009009009008765587,5.743885278701782,2,False
64,52.0,OPTIMAL,52.0,True,0.0,0.0,6.95425009727478,2,False
65,580.0,OPTIMAL,590.0,False,10.0,0.0172413793103151,6.557764053344727,2,False
66,-99999.0,OPTIMAL,76.0,False,,,7.025297403335571,2,False
67,60.0,OPTIMAL,60.0,True,0.0,0.0,4.875926733016968,2,False
68,2400.0,INF_OR_UNBD,,False,,,6.935901403427124,2,False
69,735.0,OPTIMAL,150.0,False,585.0,0.7959183673458559,6.842614650726318,2,False
70,14.0,OPTIMAL,14.0,True,0.0,0.0,4.929499387741089,2,False
71,1480.0,OPTIMAL,1600.0,False,120.0,0.0810810810810263,15.671064853668213,2,False
72,1.5,OPTIMAL,1.5,True,0.0,0.0,5.220777988433838,2,False
73,6.4,OPTIMAL,21.333333333333336,False,14.933333333333335,2.33333333296875,5.218568563461304,2,False
74,5050.0,OPTIMAL,5050.0,True,0.0,0.0,4.91516637802124,2,False
75,1800.0,OPTIMAL,1800.0,True,0.0,0.0,5.120692253112793,2,False
76,1965.0,OPTIMAL,1965.0,True,0.0,0.0,6.653689622879028,2,False
77,310.0,OPTIMAL,932.0,False,622.0,2.0064516128967536,9.932907819747925,2,False
78,14.0,OPTIMAL,14.0,True,0.0,0.0,6.5528130531311035,2,False
79,36900.0,OPTIMAL,37083.333333333336,False,183.33333333333576,0.004968383017163436,5.225616455078125,2,False
80,6.0,OPTIMAL,6.0,True,0.0,0.0,6.037402153015137,2,False
81,17.714285714285715,OPTIMAL,17.71428571428571,True,3.552713678800501e-15,2.0055641734031944e-16,4.047164440155029,2,False
82,1001.0,OPTIMAL,1001.0,True,0.0,0.0,5.682934522628784,2,False
83,390.0,OPTIMAL,390.0,True,0.0,0.0,7.375310182571411,2,False
84,81000.0,OPTIMAL,81000.0,True,0.0,0.0,6.140138387680054,2,False
85,72.0,OPTIMAL,80.0,False,8.0,0.1111111111095679,6.760976552963257,2,False
86,4000000.0,OPTIMAL,1410000.0,False,2590000.0,0.6474999999999999,9.929296731948853,2,False
87,1080.0,OPTIMAL,1080.0,True,0.0,0.0,7.680614233016968,2,False
88,32.0,OPTIMAL,25.0,False,7.0,0.21874999999316408,5.819864511489868,2,False
89,810.0,OPTIMAL,450.0,False,360.0,0.44444444444389575,5.950709342956543,2,False
90,160.0,OPTIMAL,156.0,False,4.0,0.02499999999984375,10.343306303024292,2,False
91,230.0,OPTIMAL,230.0,True,0.0,0.0,8.295359134674072,2,False
92,24.0,OPTIMAL,24.0,True,0.0,0.0,8.915704727172852,2,False
93,2480.0,OPTIMAL,2480.0,True,0.0,0.0,7.467342853546143,2,False
94,310.0,OPTIMAL,310.0,True,0.0,0.0,5.119002819061279,2,False
95,300.0,OPTIMAL,1080.0,False,780.0,2.5999999999913332,10.444533109664917,2,False
96,22.0,OPTIMAL,22.0,True,0.0,0.0,5.936752796173096,2,False
97,175.0,OPTIMAL,175.0,True,0.0,0.0,4.403249979019165,2,False
98,30.0,OPTIMAL,30.0,True,0.0,0.0,6.5587403774261475,2,False
99,342750.0,OPTIMAL,342750.0,True,0.0,0.0,5.524989128112793,2,False
100,30000.0,OPTIMAL,30000.0,True,0.0,0.0,7.9878270626068115,2,False
101,1366.6666666666667,OPTIMAL,1400.0,False,33.33333333333326,0.024390243902421123,5.323429584503174,2,False
102,-99999.0,INFEASIBLE,,False,,,7.88487696647644,2,False
103,26.0,OPTIMAL,17.0,False,9.0,0.3461538461405325,7.474783658981323,2,False
104,571.0,OPTIMAL,1000.0,False,429.0,0.7513134851125196,6.656294345855713,2,False
105,61875.0,OPTIMAL,45000.0,False,16875.0,0.2727272727272683,6.346094369888306,2,False
106,166.66666666666669,OPTIMAL,166.66666666666666,True,2.842170943040401e-14,1.7053025658140085e-16,9.01223111152649,2,False
107,4347.0,OPTIMAL,4347.0,True,0.0,0.0,7.271822452545166,2,False
108,1500.0,OPTIMAL,1500.0,True,0.0,0.0,6.752314805984497,2,False
109,45.0,OPTIMAL,45.0,True,0.0,0.0,7.066755056381226,2,False
110,430.0,INFEASIBLE,,False,,,7.065997838973999,2,False
111,600.0,OPTIMAL,600.0,True,0.0,0.0,6.244278192520142,2,False
112,125.0,OPTIMAL,125.0,True,0.0,0.0,5.7350709438323975,2,False
113,507.8,OPTIMAL,935.0,False,427.2,0.8412760929483236,6.2439446449279785,2,False
114,684000.0,OPTIMAL,760000.0,False,76000.0,0.11111111111111094,7.065832138061523,2,False
115,2500.0,OPTIMAL,2500.0,True,0.0,0.0,6.8623833656311035,2,False
116,22.0,OPTIMAL,22.0,True,0.0,0.0,11.367777347564697,2,False
117,430.7692307692308,OPTIMAL,374.0,False,56.769230769230774,0.13178571428540836,6.858371019363403,2,False
118,465.0,OPTIMAL,465.0,True,0.0,0.0,7.678410768508911,2,False
119,291.4,OPTIMAL,135.0,False,156.39999999999998,0.5367192862026879,6.555837154388428,2,False
120,363.0,OPTIMAL,500.0,False,137.0,0.37741046831851954,6.445866107940674,2,False
121,22.0,OPTIMAL,22.0,True,0.0,0.0,5.0378313064575195,2,False
122,28.0,OPTIMAL,23.0,False,5.0,0.178571428565051,7.5575642585754395,2,False
123,4.0,OPTIMAL,2.4,False,1.6,0.3999999999,5.118574857711792,2,False
124,11980.0,OPTIMAL,11980.0,True,0.0,0.0,5.53114652633667,2,False
125,2250.0,OPTIMAL,2250.0,True,0.0,0.0,7.271249294281006,2,False
126,19.0,OPTIMAL,19.0,True,0.0,0.0,5.836812973022461,2,False
127,44.0,OPTIMAL,44.0,True,0.0,0.0,5.017786741256714,2,False
128,342.0,OPTIMAL,455.0,False,113.0,0.3304093567241801,7.88165807723999,2,False
129,120.0,OPTIMAL,120.0,True,0.0,0.0,7.472941875457764,2,False
130,32.0,OPTIMAL,32.0,True,0.0,0.0,5.736882209777832,2,False
131,60.0,OPTIMAL,60.0,True,0.0,0.0,9.724578380584717,2,False
132,511.4285714285713,OPTIMAL,511.4285714285714,True,1.1368683772161603e-13,2.222926994552392e-16,6.655576705932617,2,False
133,650.0,OPTIMAL,26300.0,False,25650.0,39.46153846147775,8.112943887710571,2,False
134,480.0,OPTIMAL,480.0,True,0.0,0.0,6.532272100448608,2,False
135,136.0,OPTIMAL,143.0,False,7.0,0.05147058823491566,7.474811553955078,2,False
136,30.0,OPTIMAL,30.0,True,0.0,0.0,5.017348527908325,2,False
137,64.0,OPTIMAL,104.0,False,40.0,0.6249999999902344,8.705989360809326,2,False
138,10060.0,OPTIMAL,10060.0,True,0.0,0.0,6.243785619735718,2,False
139,670.0,OPTIMAL,670.0,True,0.0,0.0,4.604241371154785,2,False
140,1000.0,OPTIMAL,1000.0,True,0.0,0.0,5.6361083984375,2,False
141,40.0,OPTIMAL,40.0,True,0.0,0.0,5.933166742324829,2,False
142,306.0,OPTIMAL,500.0,False,194.0,0.6339869281025033,13.007560968399048,2,False
143,-99999.0,INFEASIBLE,,False,,,10.647183895111084,2,False
144,1070.0,OPTIMAL,1070.0,True,0.0,0.0,7.5789878368377686,2,False
145,60.0,OPTIMAL,60.0,True,0.0,0.0,6.245976209640503,2,False
146,50.0,OPTIMAL,50.0,True,0.0,0.0,7.986631155014038,2,False
147,16666.666666666664,OPTIMAL,17000.0,False,333.33333333333576,0.01999999999999895,5.834989786148071,2,False
148,75.0,OPTIMAL,75.0,True,0.0,0.0,6.755265951156616,2,False
149,71.0,OPTIMAL,71.0,True,0.0,0.0,6.966156959533691,2,False
150,6000.0,OPTIMAL,6000.0,True,0.0,0.0,11.77323865890503,2,False
151,5.0,OPTIMAL,5.0,True,0.0,0.0,5.3276686668396,2,False
152,6.0,INFEASIBLE,,False,,,10.031225442886353,2,False
153,-99999.0,INFEASIBLE,,False,,,8.501278162002563,2,False
154,95.0,OPTIMAL,425.0,False,330.0,3.4736842104897505,13.514902830123901,2,False
155,133200.0,OPTIMAL,133200.0,True,0.0,0.0,6.143998861312866,2,False
156,217.0,OPTIMAL,217.0,True,0.0,0.0,7.272061347961426,2,False
157,78.0,OPTIMAL,78.0,True,0.0,0.0,12.62084674835205,2,False
158,23.5,OPTIMAL,23.5,True,0.0,0.0,7.223613977432251,2,False
159,333.0,OPTIMAL,333.0,True,0.0,0.0,8.208935022354126,2,False
160,29.0,OPTIMAL,29.0,True,0.0,0.0,7.5783703327178955,2,False
161,1990.0,OPTIMAL,1990.0,True,0.0,0.0,12.492378950119019,2,False
162,70.0,OPTIMAL,80.0,False,10.0,0.14285714285510204,9.977750062942505,2,False
163,268.0,OPTIMAL,268.0,True,0.0,0.0,7.021799325942993,2,False
164,80000.0,OPTIMAL,80000.0,True,0.0,0.0,5.7314674854278564,2,False
165,7500.0,OPTIMAL,7500.0,True,0.0,0.0,7.267345428466797,2,False
166,24.0,OPTIMAL,24.0,True,0.0,0.0,10.960422039031982,2,False
167,48.0,OPTIMAL,46.0,False,2.0,0.041666666665798616,13.926649570465088,2,False
168,89.0,OPTIMAL,67.0,False,22.0,0.24719101123317763,7.061754465103149,2,False
169,18.0,OPTIMAL,15.0,False,3.0,0.1666666666574074,12.69848084449768,2,False
170,80000.0,OPTIMAL,80000.0,True,0.0,0.0,9.008623838424683,2,False
171,101.81818181818184,OPTIMAL,105.0,False,3.1818181818181586,0.031249999999692843,11.265020608901978,2,False
172,368.0,OPTIMAL,368.0,True,0.0,0.0,8.29720425605774,2,False
173,6300.0,OPTIMAL,6700.0,False,400.0,0.06349206349205341,10.13555121421814,2,False
174,260.0,OPTIMAL,260.0,True,0.0,0.0,7.985936880111694,2,False
175,960.0,OPTIMAL,960.0,True,0.0,0.0,11.878841638565063,2,False
176,6794.0,OPTIMAL,6794.0,True,0.0,0.0,10.959414720535278,2,False
177,67.0,OPTIMAL,67.0,True,0.0,0.0,12.38651967048645,2,False
178,226.0,OPTIMAL,226.0,True,0.0,0.0,13.104390144348145,2,False
179,582.0,OPTIMAL,582.0,True,0.0,0.0,8.705167293548584,2,False
180,375.0,OPTIMAL,375.0,True,0.0,0.0,10.137823104858398,2,False
181,480.0,OPTIMAL,480.0,True,0.0,0.0,6.344881534576416,2,False
182,65000.0,OPTIMAL,65000.0,True,0.0,0.0,8.911142110824585,2,False
183,20.0,OPTIMAL,12.0,False,8.0,0.39999999998,7.837330102920532,2,False
184,118.0,OPTIMAL,118.0,True,0.0,0.0,9.466356754302979,2,False
185,16.0,OPTIMAL,16.0,True,0.0,0.0,8.703959226608276,2,False
186,-99999.0,OPTIMAL,3220.0,False,,,7.985039472579956,2,False
187,11.0,OPTIMAL,11.0,True,0.0,0.0,5.939931392669678,2,False
188,46000.0,OPTIMAL,49000.0,False,3000.0,0.06521739130434641,9.116359949111938,2,False
189,7000.0,OPTIMAL,7000.0,True,0.0,0.0,10.030004024505615,2,False
190,677.5,OPTIMAL,380.0,False,297.5,0.4391143911432633,13.202690124511719,2,False
191,79000.0,OPTIMAL,60666.666666666664,False,18333.333333333336,0.2320675105485203,8.168818950653076,2,False
192,2500.0,OPTIMAL,2500.0,True,0.0,0.0,7.299147367477417,2,False
193,65.0,OPTIMAL,55.0,False,10.0,0.15384615384378697,8.810859203338623,2,False
194,175.0,OPTIMAL,166.66666666666669,False,8.333333333333314,0.047619047618775404,5.423976182937622,2,False
195,800.0,OPTIMAL,800.0,True,0.0,0.0,7.885834217071533,2,False
196,110.0,OPTIMAL,110.0,True,0.0,0.0,10.339144706726074,2,False
197,19.0,OPTIMAL,19.0,True,0.0,0.0,7.066799640655518,2,False
198,-99999.0,OPTIMAL,50.0,False,,,4.914053201675415,2,False
199,14.0,OPTIMAL,14.0,True,0.0,0.0,10.545806646347046,2,False
200,100.0,OPTIMAL,100.0,True,0.0,0.0,6.143107652664185,2,False
201,2000.0,OPTIMAL,2000.0,True,0.0,0.0,7.88822078704834,2,False
202,1125.0,OPTIMAL,1125.0,True,0.0,0.0,5.322675704956055,2,False
203,1552.0,OPTIMAL,1552.0,True,0.0,0.0,6.0418853759765625,2,False
204,750.0,OPTIMAL,750.0,True,0.0,0.0,4.606966257095337,2,False
205,200.0,OPTIMAL,200.0,True,0.0,0.0,4.711452484130859,2,False
206,610.0,INFEASIBLE,,False,,,6.14199686050415,2,False
207,50.0,OPTIMAL,50.0,True,0.0,0.0,5.732136964797974,2,False
208,819.0,OPTIMAL,819.0,True,0.0,0.0,6.454936504364014,2,False
209,890.0,OPTIMAL,890.0,True,0.0,0.0,7.16351580619812,2,False
210,310.0,OPTIMAL,305.0,False,5.0,0.016129032258012488,6.963988542556763,2,False
211,555.0,INFEASIBLE,,False,,,6.962512016296387,2,False
212,430.7692307692307,OPTIMAL,366.6666666666667,False,64.10256410256403,0.14880952380917822,6.755281448364258,2,False
213,40.0,OPTIMAL,40.0,True,0.0,0.0,4.506341218948364,2,False
214,225.00000000000003,OPTIMAL,225.00000000000003,True,0.0,0.0,6.042922258377075,2,False
215,30.0,OPTIMAL,30.0,True,0.0,0.0,5.219729661941528,2,False
216,60.0,OPTIMAL,54.0,False,6.0,0.09999999999833334,5.3253021240234375,2,False
217,256500.0,OPTIMAL,256500.0,True,0.0,0.0,5.323688983917236,2,False
218,1970.0,OPTIMAL,1760.0,False,210.0,0.1065989847715195,5.938828945159912,2,False
219,70.0,OPTIMAL,70.0,True,0.0,0.0,4.200069904327393,2,False
220,40.0,OPTIMAL,40.0,True,0.0,0.0,3.7872776985168457,2,False
221,125.49295774647888,OPTIMAL,125.49295774647888,True,0.0,0.0,4.298357725143433,2,False
222,8.0,OPTIMAL,8.0,True,0.0,0.0,5.428698301315308,2,False
223,16500.0,OPTIMAL,16500.0,True,0.0,0.0,5.322736501693726,2,False
224,2400.0,OPTIMAL,2080.0,False,320.0,0.13333333333327776,4.813783407211304,2,False
225,2.3,OPTIMAL,2.3,True,0.0,0.0,4.198286294937134,2,False
226,72.0,OPTIMAL,72.0,True,0.0,0.0,3.4826748371124268,2,False
227,214.0,OPTIMAL,214.0,True,0.0,0.0,4.707061767578125,2,False
228,8.0,OPTIMAL,8.0,True,0.0,0.0,2.970684289932251,2,False
229,2190.0,OPTIMAL,2190.0,True,0.0,0.0,4.095141172409058,2,False
230,26.0,OPTIMAL,26.0,True,0.0,0.0,3.9938697814941406,2,False
