example,gt,pred,correct,abs_error,rel_error,latency_sec
98,30.0,30.0,True,0.0,0.0,14.398948192596436
99,342750.0,342750.0,True,0.0,0.0,14.281280994415283
100,30000.0,29950.0,False,50.0,0.001666666666666611,6.686422824859619
101,1366.6666666666667,1400.0,False,33.33333333333326,0.024390243902421123,7.590070009231567
102,-99999.0,,False,,,8.011543989181519
103,26.0,26.0,True,0.0,0.0,11.994469165802002
104,571.0,571.0,True,0.0,0.0,7.123700857162476
105,61875.0,45.0,False,61830.0,0.9992727272727112,24.901780128479004
106,166.66666666666669,166.0,False,0.6666666666666856,0.003999999999976114,5.610332489013672
107,4347.0,4347.0,True,0.0,0.0,9.528449773788452
108,1500.0,1500.0,True,0.0,0.0,11.113724708557129
109,45.0,45.0,True,0.0,0.0,9.091811895370483
110,430.0,430.0,True,0.0,0.0,8.046401977539062
111,600.0,600.0,True,0.0,0.0,12.04300332069397
112,125.0,125.0,True,0.0,0.0,8.118916034698486
113,507.8,507.8,True,0.0,0.0,8.75428318977356
114,684000.0,,False,,,13.729163408279419
115,2500.0,11275.0,False,8775.0,3.509999999998596,9.783440351486206
116,22.0,22.0,True,0.0,0.0,7.681362152099609
117,430.7692307692308,440.0,False,9.230769230769226,0.021428571428521673,10.073486328125
118,465.0,465.0,True,0.0,0.0,7.967980861663818
119,291.4,0.0,False,291.4,0.9999999999965683,9.538624048233032
120,363.0,363.0,True,0.0,0.0,6.214895486831665
121,22.0,22.0,True,0.0,0.0,8.592810153961182
122,28.0,28.0,True,0.0,0.0,8.301767110824585
123,4.0,2.4,False,1.6,0.3999999999,6.073446989059448
124,11980.0,11980.0,True,0.0,0.0,10.722654104232788
125,2250.0,2250.0,True,0.0,0.0,10.34363603591919
126,19.0,19.0,True,0.0,0.0,6.435606479644775
127,44.0,44.0,True,0.0,0.0,5.537912368774414
128,342.0,342.0,True,0.0,0.0,15.750182867050171
129,120.0,120.0,True,0.0,0.0,7.128842353820801
130,32.0,32.0,True,0.0,0.0,8.041156768798828
131,60.0,60.0,True,0.0,0.0,6.917424201965332
132,511.4285714285713,509.0,False,2.4285714285712743,0.004748603351945722,9.166967630386353
133,650.0,650.0,True,0.0,0.0,6.62380313873291
134,480.0,480.0,True,0.0,0.0,8.579643249511719
135,136.0,143.0,False,7.0,0.05147058823491566,6.131699085235596
136,30.0,30.0,True,0.0,0.0,5.715155601501465
137,64.0,64.0,True,0.0,0.0,9.001268148422241
138,10060.0,10060.0,True,0.0,0.0,12.679549217224121
139,670.0,670.0,True,0.0,0.0,4.936305522918701
140,1000.0,1000.0,True,0.0,0.0,7.904778480529785
141,40.0,40.0,True,0.0,0.0,8.358933448791504
142,306.0,306.0,True,0.0,0.0,5.125303506851196
143,-99999.0,,False,,,9.220699071884155
144,1070.0,1070.0,True,0.0,0.0,4.491560697555542
145,60.0,60.0,True,0.0,0.0,5.99715518951416
146,50.0,50.0,True,0.0,0.0,8.666760921478271
147,16666.666666666664,16672.0,False,5.333333333335759,0.00032000000000012634,7.883214712142944
148,75.0,75.0,True,0.0,0.0,5.85513973236084
149,71.0,71.0,True,0.0,0.0,7.1852827072143555
150,6000.0,6000.0,True,0.0,0.0,4.843209981918335
151,5.0,5.0,True,0.0,0.0,4.832840204238892
152,6.0,,False,,,5.942436695098877
153,-99999.0,,False,,,5.722966909408569
154,95.0,330.0,False,235.0,2.4736842105002768,9.084892988204956
155,133200.0,133200.0,True,0.0,0.0,6.196996688842773
156,217.0,217.0,True,0.0,0.0,3.9057135581970215
157,78.0,78.0,True,0.0,0.0,7.230844736099243
158,23.5,23.5,True,0.0,0.0,13.719155550003052
159,333.0,333.0,True,0.0,0.0,13.32083511352539
160,29.0,29.0,True,0.0,0.0,8.704380989074707
161,1990.0,1990.0,True,0.0,0.0,6.256006479263306
162,70.0,70.0,True,0.0,0.0,5.520763158798218
163,268.0,268.0,True,0.0,0.0,5.979245185852051
164,80000.0,80000.0,True,0.0,0.0,6.289736747741699
165,7500.0,5625.0,False,1875.0,0.24999999999996667,6.382297992706299
166,24.0,24.0,True,0.0,0.0,9.066054344177246
167,48.0,48.0,True,0.0,0.0,12.51136040687561
168,89.0,89.0,True,0.0,0.0,9.227643251419067
169,18.0,17.0,False,1.0,0.05555555555246913,13.516371011734009
170,80000.0,80000.0,True,0.0,0.0,5.131458044052124
171,101.81818181818184,105.0,False,3.1818181818181586,0.031249999999692843,9.422297477722168
172,368.0,368.0,True,0.0,0.0,8.649730443954468
173,6300.0,6300.0,True,0.0,0.0,7.625361919403076
174,260.0,260.0,True,0.0,0.0,10.131403923034668
175,960.0,960.0,True,0.0,0.0,5.944061517715454
176,6794.0,6794.0,True,0.0,0.0,7.020876169204712
177,67.0,67.0,True,0.0,0.0,9.458166599273682
178,226.0,226.0,True,0.0,0.0,8.711658477783203
179,582.0,582.0,True,0.0,0.0,7.2318572998046875
180,375.0,375.0,True,0.0,0.0,6.37334418296814
181,480.0,480.0,True,0.0,0.0,6.0447328090667725
182,65000.0,,False,,,13.777151584625244
183,20.0,20.0,True,0.0,0.0,6.911866903305054
184,118.0,118.0,True,0.0,0.0,9.429809093475342
185,16.0,16.0,True,0.0,0.0,10.943708658218384
186,-99999.0,3220.0,False,103219.0,1.0322003220032097,8.841054677963257
187,11.0,11.0,True,0.0,0.0,5.879936218261719
188,46000.0,46000.0,True,0.0,0.0,8.744212627410889
189,7000.0,7000.0,True,0.0,0.0,6.234296798706055
190,677.5,670.0,False,7.5,0.011070110701090671,6.458746910095215
191,79000.0,66500.0,False,12500.0,0.1582278481012638,7.234024286270142
192,2500.0,2500.0,True,0.0,0.0,8.058329582214355
193,65.0,65.0,True,0.0,0.0,8.770148038864136
194,175.0,175.0,True,0.0,0.0,8.196095705032349
195,800.0,800.0,True,0.0,0.0,8.450891971588135
196,110.0,110.0,True,0.0,0.0,12.13512635231018
197,19.0,19.0,True,0.0,0.0,6.635496377944946
198,-99999.0,50.0,False,100049.0,1.0005000050000399,11.174148321151733
199,14.0,14.0,True,0.0,0.0,7.874356031417847
200,100.0,100.0,True,0.0,0.0,7.227887392044067
201,2000.0,2000.0,True,0.0,0.0,7.4955713748931885
202,1125.0,1125.0,True,0.0,0.0,7.112269401550293
203,1552.0,1552.0,True,0.0,0.0,7.564178705215454
204,750.0,750.0,True,0.0,0.0,8.361496686935425
205,200.0,200.0,True,0.0,0.0,5.869631767272949
206,610.0,610.0,True,0.0,0.0,6.47231388092041
207,50.0,50.0,True,0.0,0.0,8.19408106803894
208,819.0,819.0,True,0.0,0.0,9.833174467086792
209,890.0,890.0,True,0.0,0.0,8.704301595687866
210,310.0,310.0,True,0.0,0.0,8.152335166931152
211,555.0,555.0,True,0.0,0.0,5.219993591308594
212,430.7692307692307,460.0,False,29.230769230769283,0.06785714285698546,20.693780660629272
213,40.0,40.0,True,0.0,0.0,7.6809141635894775
214,225.00000000000003,225.00000000000003,True,0.0,0.0,7.55642032623291
215,30.0,30.0,True,0.0,0.0,7.161925315856934
216,60.0,60.0,True,0.0,0.0,8.584363222122192
217,256500.0,256500.0,True,0.0,0.0,7.833635568618774
218,1970.0,1760.0,False,210.0,0.1065989847715195,4.807056188583374
219,70.0,70.0,True,0.0,0.0,6.089507818222046
220,40.0,40.0,True,0.0,0.0,9.62207293510437
221,125.49295774647888,128.0,False,2.5070422535211208,0.0199775533107274,6.468220472335815
222,8.0,8.0,True,0.0,0.0,8.014747858047485
223,16500.0,16500.0,True,0.0,0.0,6.360110282897949
224,2400.0,2400.0,True,0.0,0.0,7.895466327667236
225,2.3,2.3,True,0.0,0.0,5.9563069343566895
226,72.0,72.0,True,0.0,0.0,9.083852291107178
227,214.0,214.0,True,0.0,0.0,9.013139247894287
228,8.0,8.0,True,0.0,0.0,6.697462797164917
229,2190.0,2190.0,True,0.0,0.0,5.280831813812256
230,26.0,26.0,True,0.0,0.0,7.175722360610962
